Header,
报告名称,利润表
报告日期,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
日期格式,yyyy-MM-dd
公司代码,600535
公司名称,天士力
单位,10000
Body,
营业总收入,1322751,1257770,1110807,930146,656966,465159,399265,343422,279491,242430,
营业收入,1322167,1256690,1109787,930022,656966,465159,399265,343422,279491,242430,
利息收入,585,1080,1020,124,,,,,,,
已赚保费,,,,,,,,,,,
手续费及佣金收入,,,,,,,,,,,
房地产销售收入,,,,,,,,,,,
其他业务收入,,,,,,,,,,,
营业总成本,1148588,1086773,971053,837029,591071,412164,360811,311735,258318,216406,
营业成本,810160,785688,704266,644895,460133,308427,268739,229574,187526,157384,
利息支出,,258,,,,,,,,,
手续费及佣金支出,,,,,,,,,,,
房地产销售成本,,,,,,,,,,,
研发费用,,,,,,,,,,,
退保金,,,,,,,,,,,
赔付支出净额,,,,,,,,,,,
提取保险合同准备金净额,,,,,,,,,,,
保单红利支出,,,,,,,,,,,
分保费用,,,,,,,,,,,
其他业务成本,,,,,,,,,,,
营业税金及附加,12135,10160,9542,6397,4497,3115,2579,2321,2085,1936,
销售费用,199093,182190,155278,118555,78639,63162,56583,49605,40830,35277,
管理费用,95915,81009,81425,48440,38955,30551,28128,22987,22474,16384,
财务费用,26057,29112,14762,9257,6504,6157,4207,7078,4143,4639,
资产减值损失,5230,-1643,5780,9484,2343,751,576,171,1260,786,
公允价值变动收益,,-7,6,,,,,,,,
投资收益,560,-80,381,460,8292,565,660,18,188,312,
对联营企业和合营企业的投资收益,-543,-894,-283,-46,905,550,46,6,-0,-6,
汇兑收益,,,,,,,,,,,
期货损益,,,,,,,,,,,
托管收益,,,,,,,,,,,
补贴收入,,,,,,,,,,,
其他业务利润,,,,,,,,,,,
营业利润,174723,170909,140140,93576,74187,53561,39114,31704,21360,26336,
营业外收入,5987,4330,3483,3264,5732,2543,1381,687,1402,54,
营业外支出,1168,1932,1830,854,1340,541,585,932,241,92,
非流动资产处置损失,177,188,93,158,236,62,87,91,25,28,
利润总额,179542,173307,141793,95986,78580,55563,39910,31459,22521,26298,
所得税费用,27175,28269,25161,16778,14583,9620,7546,6421,6224,4518,
未确认投资损失,,,,,,,,,,,
净利润,152367,145038,116632,79208,63996,45943,32363,25038,16297,21781,
归属于母公司所有者的净利润,147855,136827,110026,76920,61081,45030,31671,25589,17774,20891,
被合并方在合并前实现净利润,,,,,,,,,,,
少数股东损益,4512,8211,6606,2288,2915,913,693,-551,-1477,890,
基本每股收益,1.38,1.32,1.07,1.49,1.18,0.92,0.65,0.52,0.37,0.46,
稀释每股收益,1.38,1.32,1.07,1.49,1.18,0.92,0.65,0.52,0.37,0.46,
