Header,
报告名称,资产负债表
报告日期,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
日期格式,yyyy-MM-dd
公司代码,600535
公司名称,天士力
单位,10000
Body,
货币资金,108034,111577,95465,99271,152641,160368,55626,40356,25505,61916,
结算备付金,,,,,,,0,,,0,
拆出资金,,,,,,,0,,,0,
交易性金融资产,,,8496,1900,,,0,,,0,
衍生金融资产,,,,,,,0,,,0,
应收票据,179168,131641,107901,77194,72650,28377,19472,14447,24771,29287,
应收账款,464328,355868,205168,130510,80751,56440,53586,51914,38359,29021,
预付款项,20226,13974,17207,19203,11879,10475,8931,8893,7976,8240,
应收保费,,,,,,,0,,,0,
应收分保账款,,,,,,,0,,,0,
应收分保合同准备金,,,,,,,0,,,0,
应收利息,4,383,1221,593,,,0,,,0,
应收股利,,,,,,,0,,,0,
其他应收款,5422,3988,10212,9469,5985,5409,7745,4171,4808,3957,
应收出口退税, ,,,,,,0,,,0,
应收补贴款,,,,,,,0,,,0,
应收保证金,,,,,,,0,,,0,
内部应收款,,,,,,,0,,,0,
买入返售金融资产,,,,,,,0,,,0,
存货,176373,147664,126503,101139,74473,56131,38776,31334,24146,20019,
待摊费用,,,,,,,0,,,0,
待处理流动资产损益,,,,,,,0,,,0,
一年内到期的非流动资产,,,2000,,,,0,,,0,
其他流动资产,36158,13746,10778,6628,19,,0,,,0,
流动资产合计,989714,778841,584952,445907,398398,317201,184136,151114,125564,152441,
发放贷款及垫款,,9414,8186,9089,,,0,,,0,
可供出售金融资产,781,826,,,,,0,0,,0,
持有至到期投资,,,,,,,0,,,2004,
长期应收款,,,,2000,,,0,,,0,
长期股权投资,52251,40063,41172,39068,39269,46948,44840,17246,17240,13828,
其他长期投资,,,,,,,0,,,0,
投资性房地产,,,,2491,2575,2658,2743,2814,2772,2763,
固定资产原值,418540,397604,319089,229260,221821,172511,162030,151706,122874,95712,
累计折旧,135556,118957,100010,78543,66675,56550,48037,39566,29301,22104,
固定资产净值,282984,278647,219079,150717,155146,115961,113993,112140,93573,73608,
固定资产减值准备,6,6,6,6,6,,0,0,0,0,
固定资产,282978,278641,219073,150711,155140,115961,113993,112140,93573,73608,
在建工程,85799,72989,73353,49572,21313,25490,22733,22332,32619,41668,
工程物资,,,,,,,0,8,118,144,
固定资产清理,,,,,,,0,,,0,
生产性生物资产,,,,,,,0,,,0,
公益性生物资产,,,,,,,0,,,0,
油气资产,,,,,,,0,,,0,
无形资产,48874,41037,36983,24060,27755,17228,17268,19532,19787,20092,
开发支出,35138,27013,20816,12773,9163,13320,12531,16206,14559,13679,
商誉,13285,13900,15437,3960,4490,1450,1450,1450,1450,1450,
长期待摊费用,20800,18234,12629,3571,2491,2801,1529,867,237,4891,
股权分置流通权,,,,,,,0,,,0,
递延所得税资产,9499,8960,7678,5387,2824,2212,1310,1103,1514,2025,
其他非流动资产,2149,2216,942,,,,0,,,0,
非流动资产合计,551555,513294,436268,302683,265019,228069,218397,193698,183870,176152,
资产总计,1541269,1292135,1021221,748591,663417,545270,402533,344812,309433,328593,
