Header,
报告名称,资产负债表
报告日期,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
日期格式,yyyy-MM-dd
公司代码,601857
公司名称,中国石油
单位,10000
Body,
货币资金,7369200,7602100,5725000,4995300,6429900,5221000,8828400,4587900,8858900,5407000,8602400,1270400,
结算备付金,,,,,,,0,0,0,0,0,0,
拆出资金,,,,,,,0,0,0,0,0,0,
交易性金融资产,,,,,,,0,0,0,0,0,0,
衍生金融资产,,,,,,,0,0,0,0,0,0,
应收票据,823300,1282700,1436000,998100,1268800,595500,426800,431400,473500,284400,302800,482400,
应收账款,5226200,5310400,6402700,6445000,5382200,4500500,2878500,1675600,1841900,848800,463000,266200,
预付款项,1931300,2295900,1144500,3281300,3929600,3793500,3640200,3739400,2038600,1266400,1259300,1077900,
应收保费,,,,,,,0,0,0,0,0,0,
应收分保账款,,,,,,,0,0,0,0,0,0,
应收分保合同准备金,,,,,,,0,0,0,0,0,0,
应收利息,,,,,,,0,2100,10900,8100,800,0,
应收股利,,,,,,,0,6000,1800,1300,17400,10900,
其他应收款,1471300,1709400,1780200,1416500,857600,583700,481500,607600,1544400,1051500,926100,4006600,
应收出口退税, ,,,,,,0,0,0,0,0,0,
应收补贴款,,,,,,,0,0,0,0,0,0,
应收保证金,,,,,,,0,0,0,0,0,0,
内部应收款,,,,,,,0,0,0,0,0,0,
买入返售金融资产,,,,,,,0,0,0,0,0,0,
存货,12687700,16597700,22701700,21411700,18225300,13488800,11478100,9067000,8846700,7603800,6273300,4577100,
待摊费用,,,,,,,0,0,0,0,0,0,
待处理流动资产损益,,,,,,,0,0,0,0,0,0,
一年内到期的非流动资产,,,,,,,0,13600,5900,0,0,0,
其他流动资产,5425400,4332600,3905200,3256100,2448600,805000,1837800,2567700,200,400,5800,0,
流动资产合计,34934400,39130800,43095300,41804000,38542000,28988000,29571300,22698300,23622800,16471700,17850900,11691500,
发放贷款及垫款,,,,,,,0,0,0,0,0,0,
可供出售金融资产,283200,213300,160300,175600,178800,193500,229600,197300,253000,186000,102800,140000,
持有至到期投资,,,,,,,0,0,0,0,0,0,
长期应收款,,,,,,,0,0,0,0,0,0,
长期股权投资,7099900,11657000,11628900,7961500,7027500,6354600,2756200,2803600,2268600,3036100,1038900,754600,
其他长期投资,,,,,,,0,0,0,0,0,0,
投资性房地产,,,,,,,0,0,0,0,0,0,
固定资产原值,120913900,108966300,98227100,94404900,80771600,71420600,59952900,49478000,45072700,41077400,0,0,
累计折旧,49560600,43764600,39149300,37053600,32346000,28386600,24660700,21843800,19313000,16961500,0,0,
